T,P_sat,vol_f,vol_g,h_f,h_g,mu_f,k_f,Pr_f,mu_g
58,18172.285,0.001016084,8.3680293,242811.75,2605349.1,0.000480831,0.65218903,3.084922,1.08702E-05
59,19042.216,0.001016606,8.0086314,246997.04,2607095,0.000473511,0.65322198,3.0334532,1.09023E-05
60,19947.383,0.001017134,7.6670345,251182.77,2608838.2,0.000466374,0.65423896,2.9833949,1.09345E-05
61,20888.928,0.00101767,7.34225,255368.97,2610578.5,0.000459415,0.65524009,2.9346971,1.09668E-05
62,21868.023,0.001018211,7.0333495,259555.64,2612315.9,0.000452628,0.65622546,2.8873119,1.09991E-05
63,22885.867,0.00101876,6.7394614,263742.8,2614050.4,0.000446006,0.65719519,2.8411937,1.10316E-05
64,23943.684,0.001019315,6.4597665,267930.47,2615781.9,0.000439545,0.65814938,2.7962986,1.10641E-05
65,25042.73,0.001019876,6.1934951,272118.66,2617510.4,0.000433239,0.65908811,2.7525849,1.10966E-05
66,26184.283,0.001020444,5.9399231,276307.39,2619235.7,0.000427083,0.6600115,2.7100126,1.11292E-05
67,27369.654,0.001021018,5.6983699,280496.67,2620957.9,0.000421073,0.66091963,2.6685433,1.11619E-05
68,28600.182,0.001021599,5.4681949,284686.52,2622676.8,0.000415204,0.66181259,2.6281402,1.11947E-05
69,29877.231,0.001022186,5.248795,288876.96,2624392.5,0.000409472,0.66269047,2.5887683,1.12275E-05
70,31202.199,0.00102278,5.0396027,293068,2626104.8,0.000403871,0.66355337,2.5503937,1.12604E-05
71,32576.509,0.00102338,4.8400833,297259.66,2627813.6,0.0003984,0.66440135,2.5129842,1.12933E-05
72,34001.618,0.001023986,4.649733,301451.95,2629519,0.000393052,0.66523451,2.4765086,1.13264E-05
73,35479.01,0.001024598,4.4680771,305644.89,2631220.9,0.000387826,0.66605293,2.4409372,1.13594E-05
74,37010.199,0.001025217,4.2946678,309838.5,2632919.2,0.000382716,0.66685668,2.4062414,1.13925E-05
75,38596.731,0.001025842,4.1290831,314032.8,2634613.8,0.00037772,0.66764585,2.3723937,1.14257E-05
76,40240.182,0.001026473,3.9709247,318227.79,2636304.6,0.000372834,0.6684205,2.3393676,1.14589E-05
77,41942.159,0.00102711,3.8198167,322423.51,2637991.7,0.000368055,0.66918073,2.307138,1.14922E-05
78,43704.3,0.001027754,3.6754043,326619.96,2639674.9,0.00036338,0.66992659,2.2756802,1.15256E-05
79,45528.275,0.001028404,3.5373523,330817.17,2641354.2,0.000358806,0.67065817,2.244971,1.15589E-05
80,47415.784,0.00102906,3.4053444,335015.15,2643029.6,0.00035433,0.67137553,2.2149877,1.15924E-05
81,49368.562,0.001029722,3.2790814,339213.93,2644700.8,0.00034995,0.67207874,2.1857085,1.16258E-05
82,51388.373,0.00103039,3.1582805,343413.51,2646367.9,0.000345662,0.67276788,2.1571126,1.16594E-05
83,53477.014,0.001031065,3.0426746,347613.92,2648030.9,0.000341464,0.67344301,2.1291799,1.16929E-05
84,55636.318,0.001031745,2.9320108,351815.18,2649689.5,0.000337353,0.6741042,2.1018908,1.17265E-05
85,57868.145,0.001032432,2.8260499,356017.31,2651343.9,0.000333327,0.67475152,2.0752268,1.17602E-05
86,60174.393,0.001033125,2.7245656,360220.33,2652993.8,0.000329385,0.67538503,2.0491698,1.17939E-05
87,62556.991,0.001033824,2.6273437,364424.26,2654639.3,0.000325522,0.6760048,2.0237025,1.18276E-05
88,65017.901,0.001034528,2.5341813,368629.11,2656280.3,0.000321738,0.67661089,1.9988081,1.18614E-05
89,67559.12,0.00103524,2.4448861,372834.92,2657916.6,0.000318031,0.67720337,1.9744703,1.18952E-05
90,70182.678,0.001035957,2.3592761,377041.69,2659548.2,0.000314397,0.6777823,1.9506737,1.1929E-05
91,72890.638,0.00103668,2.2771788,381249.45,2661175.1,0.000310836,0.67834774,1.9274032,1.19629E-05
92,75685.099,0.001037409,2.1984305,385458.23,2662797.2,0.000307345,0.67889976,1.9046442,1.19968E-05
93,78568.194,0.001038145,2.1228761,389668.04,2664414.4,0.000303922,0.67943841,1.8823827,1.20308E-05
94,81542.088,0.001038886,2.0503685,393878.91,2666026.6,0.000300567,0.67996376,1.8606052,1.20648E-05
95,84608.985,0.001039634,1.9807681,398090.86,2667633.7,0.000297276,0.68047586,1.8392985,1.20988E-05
96,87771.12,0.001040388,1.9139424,402303.9,2669235.8,0.000294049,0.68097478,1.8184501,1.21328E-05
97,91030.764,0.001041148,1.8497656,406518.07,2670832.6,0.000290883,0.68146058,1.7980476,1.21669E-05
98,94390.224,0.001041913,1.7881182,410733.39,2672424.2,0.000287777,0.68193331,1.7780792,1.2201E-05
99,97851.842,0.001042686,1.7288867,414949.88,2674010.4,0.000284731,0.68239303,1.7585336,1.22351E-05
100,101417.99,0.001043464,1.6719635,419167.57,2675591.2,0.000281741,0.68283981,1.7393996,1.22692E-05
101,105091.09,0.001044248,1.6172461,423386.47,2677166.5,0.000278807,0.68327369,1.7206665,1.23034E-05
102,108873.59,0.001045038,1.564637,427606.61,2678736.2,0.000275928,0.68369474,1.702324,1.23376E-05
103,112767.96,0.001045835,1.5140438,431828.02,2680300.3,0.000273101,0.68410301,1.6843621,1.23718E-05
104,116776.73,0.001046637,1.4653783,436050.73,2681858.7,0.000270327,0.68449856,1.666771,1.24061E-05
105,120902.45,0.001047446,1.4185568,440274.75,2683411.2,0.000267603,0.68488145,1.6495414,1.24403E-05
106,125147.72,0.001048261,1.3734996,444500.11,2684957.8,0.000264928,0.68525172,1.6326641,1.24746E-05
107,129515.16,0.001049082,1.3301308,448726.84,2686498.5,0.000262301,0.68560944,1.6161304,1.25089E-05
108,134007.44,0.00104991,1.2883781,452954.97,2688033.1,0.000259721,0.68595467,1.5999316,1.25432E-05
109,138627.25,0.001050743,1.2481728,457184.52,2689561.6,0.000257187,0.68628744,1.5840596,1.25775E-05
110,143377.34,0.001051583,1.2094494,461415.51,2691083.9,0.000254698,0.68660783,1.5685062,1.26119E-05
111,148260.47,0.001052429,1.1721454,465647.97,2692600,0.000252253,0.68691588,1.5532638,1.26463E-05
112,153279.46,0.001053281,1.1362014,469881.94,2694109.6,0.00024985,0.68721165,1.5383248,1.26806E-05
113,158437.15,0.001054139,1.1015606,474117.44,2695612.8,0.000247489,0.68749518,1.5236818,1.2715E-05
114,163736.43,0.001055004,1.0681691,478354.48,2697109.5,0.000245169,0.68776654,1.5093278,1.27495E-05
115,169180.21,0.001055875,1.0359751,482593.12,2698599.6,0.000242888,0.68802578,1.4952559,1.27839E-05
116,174771.45,0.001056752,1.0049297,486833.36,2700082.9,0.000240647,0.68827294,1.4814595,1.28183E-05
117,180513.14,0.001057636,0.97498573,491075.24,2701559.5,0.000238443,0.68850808,1.4679319,1.28528E-05
118,186408.32,0.001058526,0.94609857,495318.79,2703029.3,0.000236277,0.68873125,1.4546671,1.28872E-05
119,192460.04,0.001059422,0.91822544,499564.04,2704492.1,0.000234147,0.68894251,1.4416588,1.29217E-05
120,198671.42,0.001060324,0.89132552,503811.02,2705947.8,0.000232052,0.6891419,1.4289011,1.29561E-05
121,205045.6,0.001061234,0.86535985,508059.75,2707396.5,0.000229993,0.68932947,1.4163883,1.29906E-05
122,211585.75,0.001062149,0.8402912,512310.26,2708838,0.000227967,0.68950528,1.4041148,1.30251E-05
123,218295.08,0.001063071,0.81608402,516562.59,2710272.2,0.000225974,0.68966937,1.3920752,1.30596E-05
124,225176.85,0.001063999,0.79270433,520816.76,2711699.1,0.000224014,0.68982179,1.3802642,1.30941E-05
125,232234.35,0.001064934,0.77011963,525072.81,2713118.5,0.000222085,0.6899626,1.3686767,1.31286E-05
126,239470.9,0.001065875,0.74829887,529330.77,2714530.4,0.000220188,0.69009184,1.3573077,1.31632E-05
127,246889.87,0.001066823,0.72721237,533590.66,2715934.7,0.000218321,0.69020956,1.3461523,1.31977E-05
128,254494.65,0.001067778,0.70683173,537852.52,2717331.3,0.000216484,0.69031581,1.3352059,1.32322E-05
129,262288.68,0.001068739,0.68712977,542116.38,2718720.2,0.000214676,0.69041064,1.324464,1.32667E-05
130,270275.44,0.001069707,0.6680805,546382.27,2720101.1,0.000212896,0.6904941,1.313922,1.33013E-05
131,278458.44,0.001070681,0.64965904,550650.23,2721474.2,0.000211145,0.69056622,1.3035756,1.33358E-05
132,286841.21,0.001071662,0.63184158,554920.28,2722839.2,0.00020942,0.69062707,1.2934207,1.33703E-05
133,295427.36,0.00107265,0.61460532,559192.46,2724196,0.000207723,0.69067668,1.2834531,1.34049E-05
